scenario_id,scenario_type,cas_usage,step,context,intent,patient_dit,ia_repond,keywords,skip_step_if_motif_detected,action_attendue,valide,remarques,parent_id,type_patient,canal,condition_metier,variantes,,,,,,,,,,
ESTH_1,scenario_principal,Soins esthétiques,2,Demande de blanchiment dentaire,prise_rdv_blanchiment,Je voudrais faire un blanchiment des dents.,Très bien. Le praticien réalise toujours une consultation préalable pour s’assurer qu’il n’y a pas de contre-indications. Souhaitez-vous que je vous propose un rendez-vous pour cette consultation ?,"blanchiment,blanchir,éclaircissement,dents blanches,whitening,teeth whitening,esthétique,sourire,soin esthétique,jaune,éclat",false,proposer_consult_esthetique_preliminaire,,Consultation préalable obligatoire dans la majorité des cas,RDV_patient_existant_1A,adulte,téléphone,Pas de blanchiment sans examen préalable,"Je veux blanchir mes dents | C’est pour un éclaircissement | Un whitening, c’est possible ?",,,,,,,,,,
ESTH_2,scenario_principal,Soins esthétiques,2,Demande de facettes dentaires,prise_rdv_facettes,Je suis intéressé par des facettes dentaires.,Très bien. Une consultation d’esthétique avec le Dr X permet d’évaluer la faisabilité et de discuter des options adaptées à votre sourire. Souhaitez-vous que je vous propose un créneau ?,"facettes dentaires,esthétique,sourire,dents alignées,facettes,soin esthétique,hollywood smile,forme",false,prise_rdv_consult_esthetique_facettes,,Pas de plan de traitement sans diagnostic esthétique,RDV_patient_existant_1A,adulte,téléphone,Consultation non remboursée,Le devis est remis à la suite de cette première consultation.,,,,,,,,,,
IMPL_1,scenario_principal,Implantologie,2,Patient appelle pour un avis en implantologie,prise_rdv_implantologie,Je voudrais un rendez-vous pour un implant.,"Très bien. Avez-vous déjà réalisé un bilan dentaire, un panoramique ou un scanner récemment ?","implant,bilan dentaire,panoramique,scanner,remplacer dent,trou",false,identifier_documents_existants_et_objectif,,Commencer par identifier le niveau d’information et de préparation du patient,Ouverture_appel_F,nouveau ou existant,téléphone,Consultation spécialisée avec ou sans bilan préalable,Est-ce une première démarche ou avez-vous déjà fait des examens ?,,,,,,,,,,
RDV_patient_existant_1C,scenario_principal,RDV patient existant,1,Identification du motif,prise_rdv,"Je voudrais reprendre rendez-vous pour mon suivi, c'est pour un contrôle habituel","Très bien, je regarde pour vous proposer un créneau pour le suivi","suivi,contrôle,reprise rendez-vous,rendez-vous de suivi,suivi traitement,consultation périodique,habituel,comme d'habitude,contrôle habituel",false,proposer_suivi,,Motif générique,RDV_patient_existant_1A,existant,téléphone,Suivi périodique ou post-traitement,Nous allons planifier votre prochain rendez-vous de suivi.,,,,,,,,,,
ESTH_4,scenario_principal,Soins esthétiques,2,Demande de RDV groupé avec soin classique,rdv_esthetique_et_classique,Puis-je faire un détartrage et parler du blanchiment lors du même rendez-vous ?,"Le détartrage peut être réalisé lors du rendez-vous, et une discussion sur le blanchiment est possible si le temps le permet. Souhaitez-vous que je vous propose un créneau adapté ?","blanchiment,détartrage,soin esthétique,soin classique,rendez-vous groupé,esthétique et prévention,deux choses,en même temps",false,proposer_rdv_mixte,,Permet une ouverture de dialogue sur l’esthétique,RDV_patient_existant_1A,adulte,téléphone,Prévoir durée plus longue selon protocole cabinet,Souhaitez-vous un créneau un peu plus long pour les deux ?,,,,,,,,,,
URG_interne_douleur_vive,scenario_principal,Urgence patient existant,2,Patient connu avec douleur aiguë,urgence,J’ai une douleur intense à une dent depuis cette nuit.,"Je comprends, nous allons essayer de vous proposer un rendez-vous aujourd’hui ou demain.","douleur intense,urgence interne,mal dent,urgence patient connu,douleur vive,rendez-vous rapide,insupportable,nuit",false,identifier_patient_et_prioriser,,Prioriser selon la politique interne,RDV_patient_existant_1A,existant,téléphone,"Urgence interne, à prioriser selon disponibilité",Nous allons faire au mieux pour vous trouver un créneau rapidement. Êtes-vous déjà patient chez nous ?,,,,,,,,,,
URG_externe_non_connu,scenario_principal,Urgence nouveau patient,2,Nouveau patient avec motif douloureux,urgence,"Je n’ai jamais consulté chez vous, mais j’ai très mal à une dent.","Je vais voir si un praticien peut vous recevoir en urgence. Pouvez-vous me donner votre nom, prénom et téléphone ?","urgence externe,nouveau patient,douleur dent,jamais venu,première fois,urgence nouveau patient,pas de dossier",false,collecter_infos_nouveau_et_consulter_politique_urgence,,Orientation dépend de la politique du cabinet,RDV_patient_existant_1A,nouveau,téléphone,Prise d’urgence extérieure soumise à validation,"Merci, je vais vérifier les possibilités d'urgence. Je vais avoir besoin de vos coordonnées.",,,,,,,,,,
URG_trauma_1,scenario_principal,Urgence patient,2,Traumatisme dentaire - dent cassée,triage_trauma_cassure,Je me suis cassé une dent,D’accord. Est-ce que le morceau est tombé ? Est-ce que la dent vous fait mal ou seulement cassée ?,"dent cassée,fracture dent,traumatisme,dent abîmée,dent ébréchée,dent brisée,morceau,choc",false,evaluer_gravite_trauma_visible,,Urgence fonction de douleur et exposition pulpaire,URG_interne_douleur_vive,existant/nouveau,téléphone,Peut nécessiter soin immédiat ou collage,La dent saigne-t-elle ou est-elle sensible au toucher ?,,,,,,,,,,
URG_trauma_2,scenario_principal,Urgence patient,2,Traumatisme dentaire - dent mobile,triage_trauma_mobilite,Ma dent bouge après un choc,Merci pour l’information. Est-ce que la dent vous fait mal ? Est-ce qu’elle a changé de position ?,"dent mobile,dent bouge,dent déplacée,traumatisme,dent luxée,choc dent,branle,instable",false,identifier_luxation_mobilité,,Luxation dentaire à traiter en urgence dans les 2h,URG_interne_douleur_vive,existant/nouveau,téléphone,Consultation en urgence avec contention possible,Est-ce que la dent a bougé ou semble plus longue ?,,,,,,,,,,
URG_trauma_3,scenario_principal,Urgence patient,2,Traumatisme - dent tombée complètement,triage_trauma_avulsion,Une dent est tombée après un choc,"Il faut agir rapidement. Avez-vous conservé la dent ? Si oui, dans du sérum, du lait ou la bouche ?","dent tombée,avulsion,dent arrachée,perte dent,dent sortie,dent expulsée,dans la main,perdue",false,verifier_conservation_dent_avulsee,,Réimplantation possible sous 60 min dans bonnes conditions,URG_interne_douleur_vive,enfant/adulte,téléphone,Urgence absolue – appel immédiat au cabinet,Où se trouve la dent actuellement ?,,,,,,,,,,
URG_infection_1,scenario_principal,Urgence patient,2,Douleur avec gonflement,triage_gonflement_visage,Ma joue est gonflée et ça me fait mal,"Je comprends. Avez-vous remarqué si le gonflement est chaud, rouge, ou s’il augmente rapidement ? Avez-vous de la fièvre ?","gonflement joue,visage enflé,douleur,fièvre,infection dentaire,abcès gonflement,ballon,enflure",false,evaluer_infection_locale_systemique,,Gonflement + fièvre = urgence infectieuse à traiter rapidement,URG_interne_douleur_vive,existant/nouveau,téléphone,Décision selon gravité : antibio ou hospitalisation,Est-ce que cela vous empêche d’ouvrir la bouche ou parler ?,,,,,,,,,,
URG_infection_2,scenario_principal,Urgence patient,2,Douleur avec mauvais goût / écoulement,triage_abces_ecoulement,J’ai un mauvais goût dans la bouche et la gencive est gonflée,Merci. Est-ce que vous voyez du pus ou un écoulement au niveau de la gencive ? Avez-vous déjà pris un antibiotique récemment ?,"mauvais goût,pus,écoulement gencive,abcès drainé,goût désagréable,abcès percé,liquide,amer",false,identifier_abces_drainant,,"Abcès drainant, souvent moins douloureux mais doit être contrôlé",URG_interne_douleur_vive,existant/nouveau,téléphone,Peut attendre si drainé mais nécessite suivi,Avez-vous remarqué un gonflement localisé sur la gencive ?,,,,,,,,,,
URG_infection_3,scenario_principal,Urgence patient,2,Gonflement sous-maxillaire ou difficulté à avaler,triage_infection_grave,J’ai du mal à avaler et ma gorge est enflée,Est-ce que vous avez de la fièvre ou des difficultés pour respirer ? Cela peut nécessiter une prise en charge urgente à l’hôpital.,"gorge enflée,difficulté avaler,problème respiration,infection grave,urgence vitale,phlegmon,étouffe,déglutir",false,evaluer_urgence_vitale,,"Urgence médicale, peut nécessiter hospitalisation immédiate",URG_interne_douleur_vive,existant,téléphone,Signes de cellulite ou phlegmon,Avez-vous mal en ouvrant la bouche ou en respirant ?,,,,,,,,,,
URG_postop_1,scenario_principal,Urgence patient,2,Saignement persistant après extraction,postop_saignement,J’ai eu une extraction hier et ça saigne encore un peu,Merci pour votre message. Est-ce que le saignement est abondant ou juste un léger filet rouge quand vous crachez ?,"saignement après extraction,hémorragie,extraction dent,sang persistant,saignement dentaire,crache sang,bouche pleine",false,evaluer_hemorragie,,Urgence modérée selon quantité de sang / anticoagulants,Post_extraction,existant,téléphone,"Saignement modéré : compression, contrôle. Saignement abondant : retour cabinet.",Avez-vous mordu sur une compresse pendant 30 minutes ?,,,,,,,,,,
URG_postop_2,scenario_principal,Urgence patient,2,Douleur forte quelques jours après extraction,postop_alveolite_douleur,J’ai de plus en plus mal à l’endroit où la dent a été enlevée,"Merci. Est-ce une douleur sourde et persistante, sans amélioration malgré les antalgiques ? Cela peut indiquer une alvéolite, et il serait préférable de revoir le praticien.","douleur extraction,alvéolite,douleur persistante,douleur croissante,mal après extraction,trou,lancinant",false,evaluer_douleur_postop,,Suspect alvéolite sèche. Fréquent 48-72h après extraction.,Post_extraction,existant,téléphone,Souvent nécessite nettoyage local et médication,Est-ce que cela irradie dans la mâchoire ou vers l’oreille ?,,,,,,,,,,
URG_postop_3,scenario_principal,Urgence patient,2,Gonflement et rougeur post extraction,postop_infection_locale,Ma joue a gonflé après une extraction,Est-ce que le gonflement est apparu subitement ou progressivement ? Est-ce que vous avez de la fièvre ?,"gonflement extraction,joue gonflée,infection extraction,rougeur après extraction,fièvre après extraction,réaction,suite",false,evaluer_infection_postop,,Surveillance post-opératoire + antibiothérapie possible,Post_extraction,existant,téléphone,Protocole à adapter selon gravité,Est-ce douloureux au toucher ?,,,,,,,,,,
URG_postimplant_1,scenario_principal,Urgence patient,2,Douleur intense après pose d’un implant,postimplant_douleur,J’ai très mal depuis la pose de l’implant,"Merci pour votre appel. Est-ce que la douleur est continue, lancinante, ou s’aggrave avec le temps ? Est-ce que vous prenez déjà des antalgiques ?","douleur implant,mal implant,douleur après implant,douleur intense,implant chirurgical,opération,vis",false,evaluer_douleur_postimplant,,"Douleur normale <48h, au-delà suspect infection ou pression",Post_pose_implant,existant,téléphone,"Adapter réponse selon durée, intensité, signes associés",Est-ce que ça vous empêche d’dormir ?,,,,,,,,,,
URG_postimplant_2,scenario_principal,Urgence patient,2,Gonflement après pose d’un implant,postimplant_gonflement,J’ai la joue gonflée depuis la chirurgie,"Est-ce que le gonflement est dur, rouge ou douloureux au toucher ? Avez-vous de la fièvre ?","gonflement implant,joue gonflée implant,infection implant,rougeur implant,hématome implant,bleu,oedème",false,evaluer_infection_postimplant,,Infection ou hématome possible. Surveillance selon protocole.,Post_pose_implant,existant,téléphone,Si fièvre ou douleur croissante = reconsidération rapide,Depuis quand avez-vous remarqué le gonflement ?,,,,,,,,,,
URG_postimplant_3,scenario_principal,Urgence patient,2,Saignement après chirurgie implantaire,postimplant_saignement,Il y a un peu de sang qui sort de la gencive,Est-ce un léger saignement ou est-ce que cela remplit la bouche ? Avez-vous appliqué une compresse pendant 30 minutes ?,"saignement implant,sang implant,hémorragie implant,saignement gencive implant,sang chirurgie,suinte",false,evaluer_hemorragie_postimplant,,Saignement léger = normal. Abondant = contrôle nécessaire.,Post_pose_implant,existant,téléphone,À prioriser si sous anticoagulants,Est-ce que vous prenez un traitement anticoagulant ?,,,,,,,,,,
URG_postgreffe_1,scenario_principal,Urgence patient,2,Gonflement post greffe osseuse,postgreffe_gonflement,Ma joue a enflé depuis la greffe osseuse,"Merci. Est-ce que le gonflement est apparu rapidement ? Est-il dur, douloureux ou accompagné de fièvre ?","gonflement greffe,joue gonflée greffe osseuse,infection greffe,douleur greffe,gonflement post-greffe,os",false,evaluer_infection_postgreffe,,Suivi serré car risque d'infection du greffon,Post_greffe_osseuse,existant,téléphone,"Un gonflement modéré est fréquent, mais surveiller signes infectieux",Avez-vous pris les antibiotiques prescrits ?,,,,,,,,,,
URG_postgreffe_2,scenario_principal,Urgence patient,2,Écoulement nasal après sinus lift,postsinus_fuite,"Depuis l’intervention, j’ai du liquide qui coule par le nez quand je me penche","Cela peut arriver après une greffe sinusienne. Est-ce que le liquide est clair, teinté, ou s'agit-il d'un léger saignement de nez ? Un léger saignement nasal est normal dans les 48h suivant l’intervention. Y a-t-il un goût ou une odeur désagréable ?","écoulement nasal,sinus lift,liquide nez,communication sinus,saignement nez après greffe,fuite sinus,eau,nez",false,evaluer_communication_sinusale,,"Un léger saignement nasal dans les 48h est courant. Si abondant ou persistant, évaluer une communication oro-sinusienne.",Post_greffe_sinusienne,existant,téléphone,Peut nécessiter confirmation radio + consignes strictes,Avez-vous éternué ou mouché fort après l’intervention ?,,,,,,,,,,
URG_postgreffe_3,scenario_principal,Urgence patient,2,Saignement tardif après greffe,postgreffe_saignement,"Trois jours après la greffe, j’ai eu un saignement en me brossant les dents",Merci. Est-ce un saignement abondant ou juste une trace sur la brosse ? Est-ce que la zone greffée a été touchée ?,"urgence patient,post-greffe,suivi post-opératoire,évaluation saignement,saignement tardif,greffe osseuse,brossage,fils",false,evaluer_saignement_localise,,Surveillance post-chirurgie si saignement persistant,Post_greffe_osseuse,existant,téléphone,Peut nécessiter examen local si fragilité lambeau,Est-ce que vous suivez bien les consignes post-opératoires ?,,,,,,,,,,
NP_motif_consultation,scenario_principal,Nouveau patient,2,Patient veut expliquer pourquoi il consulte,prise_rdv,C’est pour un détartrage.,Très bien. Je vais vous proposer un rendez-vous avec un praticien disponible pour les soins de prévention.,"faire un détartrage,soin prévention,première consultation,hygiène dentaire,nettoyer,tartre",false,orienter_selon_motif,,Permet d’orienter vers bon praticien,"Ouverture_appel_G,RDV_patient_existant_1A",nouveau,téléphone,Identifier type de soin,C’est noté ! Je vous propose un rendez-vous avec un dentiste spécialisé en prévention.,,,,,,,,,,
NP_sans_specialite,scenario_principal,Nouveau patient,2,Patient ne sait pas quel type de soin il doit demander,prise_rdv,"Je ne sais pas trop, j’ai un souci avec une dent mais je ne sais pas si c’est une urgence.",Je vais noter cela comme une première consultation. Un praticien pourra vous orienter après un premier examen.,"nouveau patient,motif inconnu,premier bilan,consultation exploratoire,orientation diagnostic,problème,regarder",false,classer_rdv_premier_bilan,,Cas fréquent : déclencher une consult exploratoire,Ouverture_appel_G,nouveau,téléphone,Rendez-vous générique accepté,"Aucun souci, nous allons prévoir un premier bilan pour comprendre la situation.",,,,,,,,,,
ANNUL_2,scenario_principal,Annulation RDV,2,Patient annule sans vouloir reporter,annulation,"Non merci, pas de report, je ne veux pas reprogrammer tout de suite, je rappellerai plus tard","Très bien, j'ai annulé votre rendez-vous. N'hésitez pas à nous rappeler quand vous souhaiterez en fixer un autre.","annulation rendez-vous,pas de report,supprimer rendez-vous,patient indisponible,clôture RDV,plus tard,rappellerai,non merci",false,cloturer_annulation_sans_report,,"Cas fréquent, pas d'insistance",ANNUL_1,existant,téléphone,Pas de relance obligatoire,"Pas de souci, nous restons à votre disposition.",,,,,,,,,,
REPORT_2,scenario_principal,Report RDV,2,Patient accepte une proposition,report,"D'accord pour vendredi après-midi, ce créneau me convient, je confirme le nouveau rendez-vous",-,"report rendez-vous,nouveau créneau,confirmation report,changement date,déplacer rendez-vous,disponible,ok,d'accord,confirme",false,confirmer_report,,Finalisation après choix du créneau,REPORT_1,existant,téléphone,Valider le nouveau RDV dans le système,C'est noté ! Votre rendez-vous est bien déplacé à vendredi.,,,,,,,,,,
REPORT_3,scenario_principal,Report RDV,2,Aucun créneau compatible,report,"Je ne suis disponible que le soir, après le travail, après 19h, est-ce possible de consulter tard ?","Je suis navrée, le cabinet ferme à 18h. Souhaitez-vous que je vous mette sur liste d'attente ou vous recontacte en cas de désistement ?","report rendez-vous,indisponibilité patient,horaires tardifs,liste attente,désistement,tard,boulot,soir,après 19h",false,gestion_indisponibilite_report,,Gérer contraintes horaires du cabinet,REPORT_1,existant,téléphone,Proposer alternatives selon structure,Souhaitez-vous que je vous rappelle si un créneau se libère en soirée ?,,,,,,,,,,
CORR_2,scenario_principal,Patient référé par correspondant,2,Pas de courrier disponible,prise_rdv_referent,"Non, il m’a juste dit d’appeler.","D’accord, je vais quand même vous proposer un rendez-vous. Pouvez-vous me rappeler votre nom, prénom et téléphone ?","référent,orientation,pas de courrier,rendez-vous référé,création dossier simplifié,oral,pas de lettre",false,collecter_infos_nouveau,,Faire fiche simplifiée et prévenir praticien,CORR_1,nouveau,téléphone,Informer praticien de la référence sans document,"Très bien, je vais noter vos informations pour créer un dossier.",,,,,,,,,,
CORR_3,scenario_principal,Patient référé par correspondant,2,Avec courrier ou indication claire,prise_rdv_referent,"Oui, j’ai un courrier du Dr Moreau.","Parfait. Je vous propose un rendez-vous avec le Dr Dupont, qui gère ce type de demande. Êtes-vous disponible mardi matin ?","référent,courrier,orientation prioritaire,consultation spécialisée,rendez-vous référé,lettre,enveloppe",false,proposer_rdv_specialise,,Cas souvent prioritaire,CORR_1,nouveau,téléphone,Correspondance = orientation prioritaire ou spécialisée,"Très bien, je vais vous proposer un rendez-vous adapté.",,,,,,,,,,
ENF_2,scenario_principal,Patient enfant,2,Enfant suivi au cabinet,prise_rdv_enfant,"Oui, il est déjà venu pour un contrôle.","Parfait, je retrouve bien son dossier. Quel est le motif de votre rendez vous ?","enfant suivi,patient existant,dossier enfant,suivi enfant,contrôle enfant,connu,dossier",false,identifier_motif_rdv_enfant,,Vérification dossier puis choix du motif,ENF_1,enfant,téléphone,Consultation de suivi ou soin à planifier,"Souhaitez-vous un rendez-vous pour un contrôle, un soin ou un autre motif ?",,,,,,,,,,
ENF_3,scenario_principal,Patient enfant,2,Enfant non connu du cabinet,prise_rdv_enfant,"Non, ce serait la première fois.","Très bien. Je vais créer son dossier. Pouvez-vous me donner son nom, prénom, date de naissance et votre numéro de téléphone ?","nouvel enfant,première consultation enfant,création dossier,infos parentales,dossier enfant,jamais,nouveau",false,creation_dossier_enfant,,Création de la fiche enfant,ENF_1,enfant,téléphone,Informations parentales nécessaires,Je vais prendre ses informations pour créer un dossier dès maintenant.,,,,,,,,,,
IMPL_2,scenario_principal,Implantologie,2,Patient n’a pas encore fait d’imagerie,prise_rdv_implantologie,"Non, je n’ai rien encore.",Pas de souci. Nous allons vous proposer un premier rendez-vous pour évaluer votre situation et envisager les étapes suivantes. Êtes-vous disponible en début de semaine prochaine ?,"implantologie,première consultation,pas d’imagerie,début parcours implant,bilan clinique,rien,début",false,proposer_consultation_initiale,,Permet d’initier le parcours implantologie,IMPL_1,nouveau,téléphone,Consultation clinique initiale obligatoire,On va planifier une première consultation pour faire le point.,,,,,,,,,,
IMPL_3,scenario_principal,Implantologie,2,Patient a déjà des examens,prise_rdv_implantologie,"Oui, j’ai un panoramique et un scanner.",Parfait. Pouvez-vous nous envoyer ces documents par mail à contact@cabinetdentaire.fr ? Nous les transmettrons au Dr Dupont avant la consultation.,"implantologie,examens existants,panoramique,scanner,transmettre documents,préparer consultation,radio,images",false,collecter_docs_et_transmettre_praticien,,Permet d’optimiser la première consultation,IMPL_1,nouveau ou existant,téléphone,Anticiper et pré-évaluer le traitement,Cela nous aidera à mieux préparer votre rendez-vous.,,,,,,,,,,
ORTHO_2,scenario_principal,Orthodontie enfant,2,Première consultation,prise_rdv_ortho_enfant,Ce serait la première fois.,"Très bien. Nous allons planifier une première consultation de diagnostic avec le Dr X. Elle coûte XXX € et n’est pas toujours remboursée par la Sécurité sociale, mais peut l’être par votre mutuelle.","orthodontie enfant,première consultation,diagnostic,devis,coût consultation,remboursement mutuelle,avis,voir",false,proposer_consult_diagnostic,,Informer sur coût et remboursement,ORTHO_1,enfant,téléphone,"Consultation diagnostic facturable, imagerie possible",Souhaitez-vous qu’on regarde les créneaux disponibles ?,,,,,,,,,,
ORTHO_3,scenario_principal,Orthodontie enfant,2,"Suivi existant, transfert de dossier",prise_rdv_ortho_enfant,"Elle est suivie ailleurs, mais on déménage.","Très bien. Pour assurer la continuité, pouvez-vous nous transmettre son ancien dossier et ses dernières radios si possible ?","orthodontie enfant,suivi transféré,ancien dossier,radios,continuité traitement,déménagement,changement",false,demander_dossier_precedent,,Transmission du dossier utile pour évaluation,ORTHO_1,enfant,téléphone,Transfert = nouvelle consultation d’évaluation,Cela permettra au praticien d'évaluer précisément la suite du traitement.,,,,,,,,,,
ORTHO_AD_2,scenario_principal,Orthodontie adulte,2,Première consultation,prise_rdv_ortho_adulte,Je n’ai jamais consulté.,Très bien. Nous allons organiser une première consultation avec le Dr X. Elle coûte XXX € et un devis sera établi à l’issue si un traitement est envisageable.,"orthodontie adulte,première consultation,diagnostic,devis,non remboursé,mutuelle,aligner,adulte",false,proposer_consult_diagnostic,,"Consultation souvent non remboursée, mutuelle potentielle",ORTHO_AD_1,adulte,téléphone,Diagnostic préalable au devis,Souhaitez-vous prendre rendez-vous la semaine prochaine ?,,,,,,,,,,
ORTHO_AD_3,scenario_principal,Orthodontie adulte,2,Suivi transféré d’un autre cabinet,prise_rdv_ortho_adulte,"Je suis déjà en traitement, je viens de déménager.","Très bien. Pouvez-vous nous envoyer votre dossier actuel (radios, plan de traitement, etc.) ? Cela aidera le praticien à reprendre le suivi.","orthodontie adulte,suivi transféré,reprise traitement,dossier existant,radios,plan traitement,continuer,reprendre",false,collecte_dossier_et_evaluation,,Consultation d’évaluation malgré le suivi en cours,ORTHO_AD_1,adulte,téléphone,Reprise de traitement = consultation préalable,Le praticien analysera les documents avant votre venue.,,,,,,,,,,
PAM_1,scenario_principal,Prothèse amovible,2,Demande initiale pour appareil amovible,prise_rdv_prothese_amovible,"Je voudrais faire un appareil dentaire, une prothèse.",Très bien. Le praticien commence toujours par une consultation pour évaluer la situation et proposer les options les plus adaptées. Souhaitez-vous un rendez-vous pour cela ?,"prothèse,appareil dentaire,appareil amovible,dentier,consultation,empreinte,plan de traitement,fausses dents,râtelier",false,proposer_consult_prothétique,,Consultation initiale avant toute prise d’empreinte ou plan de traitement,,adulte,téléphone,"Facturation possible, empreintes selon décision",Une première consultation est indispensable avant tout plan.,,,,,,,,,,
PAM_2,scenario_principal,Prothèse amovible,2,Prothèse cassée ou ancienne,reparation_ou_remplacement_prothese,"Mon appareil est cassé / ancien, je voudrais le faire refaire.",Je comprends. Nous allons organiser un rendez-vous pour évaluer l’état de votre prothèse actuelle et discuter d’un éventuel remplacement.,"prothèse cassée,appareil cassé,dentier abîmé,réparation,remplacement,prothèse ancienne,empreinte,réparer,coller",false,prise_rdv_evaluation_prothese_existante,,Réparation possible selon fracture / adaptation,,adulte,téléphone,Certains cas nécessitent une nouvelle empreinte,Le praticien vous dira si une réparation est possible ou s’il faut envisager un remplacement.,,,,,,,,,,
PFIX_1,scenario_principal,Prothèse fixe,2,Demande de couronne,prise_rdv_couronne,"Je dois poser une couronne, j’ai eu un devis.",Très bien. Avez-vous déjà effectué un rendez-vous préparatoire ou faut-il organiser une première consultation avec le praticien ?,"couronne,prothèse fixe,devis,empreinte,rendez-vous préparatoire,diagnostic,pose couronne,céramique,dent abîmée",false,identifier_preparation_ou_diagnostic,,Vérifier si empreinte déjà faite ou non,,adulte,téléphone,Prévoir étape selon l’avancement du traitement,Souhaitez-vous un rendez-vous avec le Dr X qui a établi le devis ?,,,,,,,,,,
PFIX_2,scenario_principal,Prothèse fixe,2,Remplacement d’une ancienne couronne,remplacement_couronne,"Ma couronne est tombée / abîmée, il faut la refaire.",Je comprends. Je vais vous proposer un rendez-vous pour que le praticien évalue la situation et propose une solution adaptée.,"couronne tombée,couronne abîmée,remplacement couronne,prothèse fixe,diagnostic,réparation,devis,décimentée,partie",false,prise_rdv_diagnostic_remplacement,,Cas fréquent nécessitant contrôle et devis,,adulte,téléphone,Facturation possible si soins à refaire,Nous organiserons un examen pour évaluer la dent support.,,,,,,,,,,
PARO_1,scenario_principal,Soins parodontaux,2,Demande d’un bilan parodontal,prise_rdv_bilan_parodontal,"J’ai les gencives qui saignent, je pense qu’il faut un traitement.",Je comprends. Le praticien propose un bilan parodontal complet pour évaluer la santé de vos gencives. Souhaitez-vous un rendez-vous pour cela ?,"parodontal,gencives,gencives qui saignent,déchaussement,bilan parodontal,traitement gencives,sang,rouge",false,proposer_bilan_parodontal,,Consultation spécialisée souvent hors nomenclature,,adulte,téléphone,Prévoir durée et coût du bilan,Un bilan complet permet de mesurer l’atteinte parodontale.,,,,,,,,,,
PARO_2,scenario_principal,Soins parodontaux,2,Patient déjà traité souhaite un contrôle,controle_suivi_parodontal,"J’ai déjà été traité pour un déchaussement, je dois faire un contrôle.",Très bien. Je vais regarder pour vous proposer un rendez-vous de suivi parodontal avec le praticien.,"suivi parodontal,contrôle gencives,déchaussement,traitement parodontal,suivi régulier,contrôle,maintenance,vérifier",false,prise_rdv_suivi_parodontal,,Fréquence de suivi importante (tous les 6 mois parfois),,adulte,téléphone,Assurer la continuité thérapeutique,Vous avez effectué votre dernier contrôle il y a combien de temps ?,,,,,,,,,,
PARO_5,scenario_principal,Soins parodontaux,2,Demande de traitement pour récession gingivale,prise_rdv_recession_gingivale,"J’ai une dent qui se déchausse, on voit la racine, c’est gênant.",Je comprends. Le praticien pourra évaluer s’il est possible d’envisager un traitement de la récession gingivale. Souhaitez-vous un rendez-vous pour un bilan parodontal complet ?,"récession gingivale,gencives,racine visible,dent qui se déchausse,traitement gencives,bilan parodontal,longue,descend",false,prise_rdv_bilan_recession,,Le traitement dépend de la profondeur de la récession et des facteurs mécaniques ou inflammatoires,PARO_1,adulte,téléphone,"Traitement chirurgical parfois proposé, devis à prévoir",Il est important d’agir tôt pour stabiliser ou corriger une récession.,,,,,,,,,,
ENC_02,scenario_principal,Patiente enceinte,2,Demande d’anesthésie locale,anesthesie_locale,Est-ce qu’on peut faire une anesthésie pendant la grossesse ?,"Oui, certaines anesthésies locales sont autorisées pendant la grossesse. Le dentiste s’adaptera à votre trimestre.","grossesse,anesthésie,anesthésie locale,soins dentaires enceinte,sécurité grossesse,précautions,piqûre,endormir",false,informer_et_transmettre_au_praticien,patiente_enceinte,existante,,Utilisation prudente des anesthésiques,téléphone,,Le praticien vous confirmera la faisabilité.,,,,,,,,,,
ENC_03,scenario_principal,Patiente enceinte,2,Demande de radio panoramique,radio_panoramique,"Je suis enceinte, est-ce que je peux faire une radio ?",Les radiographies sont évitées durant la grossesse sauf nécessité. Le dentiste décidera si cela est indispensable.,"grossesse,radio panoramique,radiographie,rayons X,radioprotection,sécurité grossesse,cliché,rayon",false,orienter_et_informer,patiente_enceinte,existante,,Radioprotection,téléphone,,Le praticien évaluera la balance bénéfice/risque.,,,,,,,,,,
ENC_06,scenario_principal,Patiente enceinte,2,Demande de soins esthétiques (blanchiment),blanchiment_grossesse,Je voulais faire un blanchiment dentaire mais je suis enceinte.,"Par précaution, nous déconseillons les traitements esthétiques pendant la grossesse. Souhaitez-vous un simple contrôle ?","grossesse,blanchiment dentaire,esthétique,soins esthétiques,contre-indication,différé,dents blanches",false,proposer_alternative,patiente_enceinte,existante,,Esthétique différée,téléphone,,Nous pourrons envisager cela après l'accouchement.,,,,,,,,,,
ENC_07,scenario_principal,Patiente enceinte,2,Demande si MEOPA possible,meopa_et_grossesse,"Je suis très stressée, est-ce qu’on peut faire une sédation douce ?",Le MEOPA est généralement évité pendant la grossesse. Le praticien confirmera la meilleure solution pour vous.,"grossesse,meopa,sédation,gaz hilarant,relaxation,anxiété,contre-indication,peur,stresse",false,informer_et_notifier_praticien,patiente_enceinte,existante,,Contre-indication potentielle,téléphone,,Nous allons voir ce qui peut vous soulager.,,,,,,,,,,
ENC_09,scenario_principal,Patiente enceinte,2,Demande combien de temps elle peut rester allongée,position_allongee,"Je ne peux pas rester allongée longtemps, c’est un problème ?",C’est noté. Nous en informerons le praticien qui fera des pauses pendant le soin.,"grossesse,position allongée,inconfort,soin allongé,pause,adaptation soins,dos,ventre",false,ajuster_soin_et_prevenir_equipe,patiente_enceinte,existante,,Position inconfortable,téléphone,,Nous adapterons la durée de la séance.,,,,,,,,,,
